"","obsid","leadid","ccode","idacr","leader","startdate","enddate","bornin","died","eindate","eoutdate","entry","exit","exitcode","prevtimesinoffice","posttenurefate","gender","borndate","yrborn","deathdate","yrdied"
"118","DOM-1876-2","A2.9-352",42,"DOM","Espaillat","29/04/1876","05/10/1876","1823","1878",1876-04-29,1876-10-05,1,3,-999,0,1,"M",NA,1823,NA,1878
"119","DOM-1876-3","A2.9-355",42,"DOM","Gonzalez","05/10/1876","09/12/1876","1840","1915",1876-10-05,1876-12-09,1,3,-999,1,1,"M",NA,1840,NA,1915
"120","DOM-1876-4","A2.9-358",42,"DOM","Buenaventura Baez","26/12/1876","02/03/1878","14/7/1812","14/03/1884",1876-12-26,1878-03-02,1,3,-999,4,1,"M",1812-07-14,1812,1884-03-14,1884
"121","DOM-1878-1","A2.9-361",42,"DOM","Guillermo","05/03/1878","06/07/1878","1847","1885",1878-03-05,1878-07-06,1,1,0,0,1,"M",NA,1847,NA,1885
"122","DOM-1878-2","A2.9-364",42,"DOM","Gonzalez","06/07/1878","02/09/1878","1840","1915",1878-07-06,1878-09-02,0,3,-999,2,1,"M",NA,1840,NA,1915
"123","DOM-1878-3","A2.9-367",42,"DOM","del Rosario de Castro","07/09/1878","29/09/1878","1811","1896",1878-09-07,1878-09-29,0,3,-999,1,0,"M",NA,1811,NA,1896
"124","DOM-1878-4","A2.9-370",42,"DOM","Guillermo","30/09/1878","06/12/1879","1847","1885",1878-09-30,1879-12-06,1,3,-999,1,1,"M",NA,1847,NA,1885
"125","DOM-1879","A2.9-373",42,"DOM","Luperon","06/12/1879","01/09/1880","1839","1897",1879-12-06,1880-09-01,1,1,0,0,0,"M",NA,1839,NA,1897
"126","DOM-1880","A2.9-376",42,"DOM","de Merino","01/09/1880","01/09/1882","1833","1906",1880-09-01,1882-09-01,0,1,0,0,0,"M",NA,1833,NA,1906
"127","DOM-1882","A2.9-379",42,"DOM","Heureaux","01/09/1882","01/09/1884","21/10/1845","26/07/1899",1882-09-01,1884-09-01,0,1,0,0,0,"M",1845-10-21,1845,1899-07-26,1899
"128","DOM-1884","A2.9-382",42,"DOM","Billini","01/09/1884","16/05/1885","1844","1898",1884-09-01,1885-05-16,0,3,-999,0,0,"M",NA,1844,NA,1898
"129","DOM-1885","A2.9-385",42,"DOM","Woss y Gil","16/05/1885","06/01/1887","1856","1932",1885-05-16,1887-01-06,0,1,0,0,0,"M",NA,1856,NA,1932
