"","year","ccode","polity2","democ"
"907",1958,140,6,6
"908",1958,355,-7,0
"909",1958,811,-9,0
"910",1958,20,10,10
"911",1958,155,5,5
"912",1958,710,-8,0
"913",1958,100,7,7
"914",1958,94,10,10
"915",1958,40,-9,0
"916",1958,315,-7,0
"917",1958,390,10,10
"918",1958,42,-9,0
"919",1958,816,-9,0
"920",1958,130,2,4
"921",1958,651,-7,0
"922",1958,530,-9,0
"923",1958,375,10,10
"924",1958,220,5,6
"925",1958,265,-8,0
"926",1958,255,10,10
"927",1958,350,4,7
"928",1958,90,-5,0
"929",1958,438,-9,0
"930",1958,41,-8,0
"931",1958,91,-1,1
"932",1958,310,-7,0
"933",1958,750,9,9
"934",1958,850,-1,2
"935",1958,205,10,10
"936",1958,630,-10,0
"937",1958,645,-5,0
"938",1958,666,10,10
"939",1958,325,10,10
"940",1958,663,-9,0
"941",1958,740,10,10
"942",1958,812,8,8
"943",1958,450,-6,0
"944",1958,660,2,4
"945",1958,620,-7,0
"946",1958,212,10,10
"947",1958,820,10,10
"948",1958,70,-6,0
"949",1958,712,-7,0
"950",1958,600,-5,1
"951",1958,775,8,8
"952",1958,790,-1,-88
"953",1958,920,10,10
"954",1958,93,-8,0
"955",1958,385,10,10
"956",1958,210,10,10
"957",1958,698,-10,0
"958",1958,95,4,5
"959",1958,150,-9,0
"960",1958,135,5,5
"961",1958,840,5,6
"962",1958,769,-7,0
"963",1958,290,-7,0
"964",1958,235,-9,0
"965",1958,731,-8,0
"966",1958,732,-4,1
"967",1958,360,-7,0
"968",1958,817,-3,1
"969",1958,560,4,7
"970",1958,92,-5,0
"971",1958,670,-10,0
"972",1958,230,-7,0
"973",1958,780,7,7
"974",1958,625,-7,0
"975",1958,380,10,10
"976",1958,225,10,10
"977",1958,652,NA,-66
"978",1958,713,-8,0
"979",1958,800,-7,0
"980",1958,640,4,5
"981",1958,200,10,10
"982",1958,165,8,8
"983",1958,2,10,10
"984",1958,364,-7,0
"985",1958,101,6,7
"986",1958,678,-6,1
"987",1958,345,-7,0
"988",1959,700,-10,0
"989",1959,339,-9,0
"990",1959,160,-1,3
"991",1959,900,10,10
"992",1959,305,10,10
"993",1959,211,10,10
"994",1959,760,-10,0
"995",1959,145,-3,1
"996",1959,140,6,6
"997",1959,355,-7,0
"998",1959,811,-9,0
"999",1959,20,10,10
"1000",1959,155,5,5
"1001",1959,710,-8,0
"1002",1959,100,7,7
"1003",1959,94,10,10
"1004",1959,40,0,-77
"1005",1959,315,-7,0
"1006",1959,390,10,10
"1007",1959,42,-9,0
"1008",1959,816,-9,0
"1009",1959,130,2,4
"1010",1959,651,-7,0
"1011",1959,530,-9,0
"1012",1959,375,10,10
"1013",1959,220,5,6
"1014",1959,265,-8,0
"1015",1959,255,10,10
"1016",1959,350,4,7
"1017",1959,90,-5,0
"1018",1959,438,-9,0
"1019",1959,41,-8,0
"1020",1959,91,-1,1
"1021",1959,310,-7,0
"1022",1959,750,9,9
"1023",1959,850,-5,0
"1024",1959,205,10,10
"1025",1959,630,-10,0
"1026",1959,645,-5,0
"1027",1959,666,10,10
"1028",1959,325,10,10
"1029",1959,51,10,10
"1030",1959,663,-9,0
"1031",1959,740,10,10
"1032",1959,812,8,8
"1033",1959,450,-6,0
"1034",1959,660,2,4
"1035",1959,620,-7,0
"1036",1959,212,10,10
"1037",1959,820,10,10
"1038",1959,70,-6,0
"1039",1959,712,-7,0
"1040",1959,600,-5,1
"1041",1959,775,8,8
"1042",1959,790,2,4
"1043",1959,920,10,10
"1044",1959,93,-8,0
"1045",1959,385,10,10
"1046",1959,210,10,10
"1047",1959,698,-10,0
"1048",1959,95,4,5
"1049",1959,150,-9,0
"1050",1959,135,5,5
"1051",1959,840,5,6
"1052",1959,769,-7,0
"1053",1959,290,-7,0
"1054",1959,235,-9,0
"1055",1959,731,-8,0
"1056",1959,732,-4,1
"1057",1959,360,-7,0
"1058",1959,817,-3,1
"1059",1959,560,4,7
"1060",1959,92,-5,0
"1061",1959,670,-10,0
"1062",1959,830,7,8
"1063",1959,230,-7,0
"1064",1959,780,7,7
"1065",1959,625,-7,0
"1066",1959,380,10,10
"1067",1959,225,10,10
"1068",1959,652,NA,-66
"1069",1959,713,-8,0
"1070",1959,800,-7,0
"1071",1959,616,-9,0
"1072",1959,640,4,5
"1073",1959,200,10,10
"1074",1959,165,8,8
"1075",1959,2,10,10
"1076",1959,364,-7,0
"1077",1959,101,6,7
"1078",1959,678,-6,1
"1079",1959,345,-7,0
"1080",1960,700,-10,0
"1081",1960,339,-9,0
"1082",1960,160,-1,3
"1083",1960,900,10,10
"1084",1960,305,10,10
"1085",1960,211,10,10
"1086",1960,434,2,4
"1087",1960,439,-7,0
"1088",1960,760,-10,0
"1089",1960,145,-3,1
"1090",1960,140,6,6
"1091",1960,355,-7,0
"1092",1960,811,-9,0
"1093",1960,20,10,10
"1094",1960,471,-6,0
"1095",1960,482,-7,0
"1096",1960,483,-9,0
"1097",1960,155,5,5
"1098",1960,710,-8,0
